Отметка времени,Мальчик или девочка?,Как часто тебя били в детстве?,Оцените ваш уровень вегетарианца по 5-ти бальной шкале,Что такое два.ч?,Твоя ориентация?,"Погулять вечером после тяжкого рабочего дня, или посычевать дома?",Как часто играешь в игры?,Сериалы?,А книги? ,Вы таки антисемит? ,Какой предмет ближе всего по душе?,Как вы относитесь к аннексии Крыма?,Владимир Путин - ,Как хорошо вы знаете английский?,Было ли раньше лучше? ,А какие жанры фильмов любишь? 
09.06.2019 23:22:11,Девочка,Не били,2,Не знаю,Гетеро,Сычевать,1,1,3,Нет,Литература,Положительно,Краб,"Чуть лучше, чем ничего",Нет,"Детектив, Аниме, Драма, Комедия, Исторический фильм, Трагедия, Фантастика"
09.06.2019 23:27:43,Мальчик,Разве что по делу,2,Ненавижу Абу,Гетеро,Сычевать,3,1,2,Нет,Матеша,Мне всё равно,человек,Хорошо,Нет,"Детектив, Трагедия, Фильм ужасов, Фантастика"
09.06.2019 23:30:07,Девочка,Разве что по делу,2,Паблик в вк,Гетеро,Гулять,0,1,3,Нет,Информатика,Мне всё равно,"Политик, лидер и боец",Хорошо,Нет,"Боевик, Детектив, Комедия, Мелодрама, Фантастика"
09.06.2019 23:30:08,Мальчик,Разве что по делу,0,Лучшая борда рунета,Гетеро,Гулять,2,3,4,Нет,Информатика,Отрицательно,"Политик, лидер и боец",Хорошо,"А колбаса какая, колбаса...","Боевик, Детектив, Аниме, Комедия, Мелодрама, Исторический фильм, Фантастика"
09.06.2019 23:31:38,Мальчик,Не били,1,Ненавижу Абу,Гетеро,Сычевать,6,4,3,Нет,Информатика,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик, Детектив, Аниме, Драма, Комедия, Исторический фильм, Фильм ужасов"
09.06.2019 23:32:14,Мальчик,Разве что по делу,0,Ненавижу Абу,Би,Сычевать,7,7,7,Нет,Информатика,Мне всё равно,Молодец,НЭЙТИВ ИНГЛИШ СПИКЕР,Нет,Аниме
09.06.2019 23:33:29,Мальчик,Разве что по делу,0,Паблик в вк,Гетеро,Сычевать,2,5,5,Нет,Информатика,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик, Детектив, Аниме, Драма, Комедия, Мелодрама, Исторический фильм, Трагедия, Фильм ужасов, Фантастика"
09.06.2019 23:34:41,Девочка,Разве что по делу,1,Не знаю,Альтернативная,Сычевать,1,4,4,Я просто боюсь евреев,Матеша,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего",Нет,"Боевик, Аниме, Драма, Комедия, Мелодрама, Фильм ужасов, Фантастика"
09.06.2019 23:34:49,Мальчик,Не били,1,Лучшая борда рунета,Гетеро,Сычевать,0,0,0,Нет,Информатика,Положительно,"Политик, лидер и боец",Нормально,Нет,Драма
09.06.2019 23:35:04,Мальчик,Не били,0,Паблик в вк,Гетеро,Сычевать,0,0,0,Я просто боюсь евреев,Матеша,Положительно,ЛЮБЛЮ РОССИЮ,Оригатоё гайзаймас,"А колбаса какая, колбаса...",Аниме
09.06.2019 23:35:52,Мальчик,Не били,2,Паблик в вк,Гетеро,Сычевать,1,2,0,Нет,Информатика,Отрицательно,"Политик, лидер и боец","Чуть лучше, чем ничего",Нет,"Боевик, Трагедия, Фильм ужасов, Фантастика"
09.06.2019 23:36:09,Девочка,Часто,1,Лучшая борда рунета,Би,Сычевать,7,7,7,Нет,История,Положительно,Правило исключенного третьего,Оригатоё гайзаймас,Нет,Аниме
09.06.2019 23:37:03,Девочка,Не били,0,Не знаю,Гетеро,Гулять,0,0,2,Нет,Матеша,Положительно,Молодец,"Чуть лучше, чем ничего",Нет,"Боевик, Комедия, Исторический фильм, Фильм ужасов, Фантастика"
09.06.2019 23:38:11,Мальчик,Разве что по делу,0,Ненавижу Абу,Альтернативная,Сычевать,7,7,7,Я просто боюсь евреев,Матеша,Мне всё равно,краб,"Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив, Аниме, Комедия, Фантастика"
09.06.2019 23:38:16,Мальчик,Разве что по делу,1,Ненавижу Абу,Гетеро,Сычевать,2,2,0,Да,Иностранные языки,Отрицательно,"Политик, лидер и боец",НЭЙТИВ ИНГЛИШ СПИКЕР,Нет,"Драма, Трагедия, Фильм ужасов, Фантастика"
09.06.2019 23:38:31,Мальчик,Разве что по делу,3,Лучшая борда рунета,Гетеро,Гулять,6,4,6,Я просто боюсь евреев,Информатика,Отрицательно,"Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик, Аниме, Комедия, Фильм ужасов, Фантастика"
09.06.2019 23:39:54,Мальчик,Не били,0,Лучшая борда рунета,Гетеро,Сычевать,4,5,4,Нет,Информатика,Положительно,Молодец,НЭЙТИВ ИНГЛИШ СПИКЕР,"А колбаса какая, колбаса...","Боевик, Детектив, Комедия, Фильм ужасов, Фантастика"
09.06.2019 23:40:47,Мальчик,Разве что по делу,0,Лучшая борда рунета,Гетеро,Сычевать,7,0,3,Я просто боюсь евреев,Физика,Положительно,"Политик, лидер и боец",Хорошо,Нет,"Драма, Комедия, Исторический фильм, Трагедия"
09.06.2019 23:41:51,Мальчик,Разве что по делу,4,Ненавижу Абу,Би,Сычевать,7,5,1,Нет,Биология,Отрицательно,краб,Отлично,Нет,"Аниме, Фильм ужасов, Фантастика"
09.06.2019 23:42:00,Девочка,Разве что по делу,0,Паблик в вк,Гетеро,Сычевать,4,2,4,Нет,Матеша,Мне всё равно,Молодец,Нормально,"А колбаса какая, колбаса...","Детектив, Комедия, Исторический фильм, Фантастика"
09.06.2019 23:42:26,Мальчик,Разве что по делу,0,Не знаю,Гетеро,Сычевать,7,7,2,Нет,Информатика,Мне всё равно,Пдр. Гласные сами расставите.,Оригатоё гайзаймас,"А колбаса какая, колбаса...",Аниме
09.06.2019 23:42:50,Мальчик,Разве что по делу,1,Ненавижу Абу,Би,Сычевать,7,3,1,Я просто боюсь евреев,Матеша,Отрицательно,Пёс,НЭЙТИВ ИНГЛИШ СПИКЕР,Нет,"Боевик, Детектив, Аниме, Драма, Комедия, Мелодрама, Исторический фильм, Трагедия, Фильм ужасов, Фантастика"
09.06.2019 23:43:08,Мальчик,Разве что по делу,3,Лучшая борда рунета,Би,Сычевать,2,4,2,Я просто боюсь евреев,Информатика,Мне всё равно,Красавчик,"Чуть лучше, чем ничего",Нет,"Боевик, Детектив, Аниме, Драма, Комедия, Фильм ужасов"
09.06.2019 23:47:00,Мальчик,Разве что по делу,1,Паблик в вк,Гетеро,Сычевать,2,1,1,Нет,Матеша,Положительно,Молодец,НЭЙТИВ ИНГЛИШ СПИКЕР,Нет,"Драма, Фильм ужасов"
09.06.2019 23:47:48,Девочка,Не били,3,Не знаю,Альтернативная,Сычевать,2,2,2,Нет,Информатика,Мне всё равно,Президент РФ до ???? года,Оригатоё гайзаймас,Нет,"Детектив, Аниме, Фантастика"
09.06.2019 23:48:47,Мальчик,Не били,3,Лучшая борда рунета,Гетеро,Сычевать,5,5,1,Нет,Информатика,Отрицательно,Я не хочу сидеть поэтому промолчу ,"Чуть лучше, чем ничего",Нет,"Детектив, Аниме, Драма, Комедия, Трагедия, Фантастика"
09.06.2019 23:49:16,Мальчик,Не били,5,Ненавижу Абу,Гетеро,Гулять,5,7,7,Я просто боюсь евреев,Информатика,Мне всё равно,Царь,Оригатоё гайзаймас,"А колбаса какая, колбаса...",Аниме
09.06.2019 23:51:32,Мальчик,Разве что по делу,1,Лучшая борда рунета,Гетеро,Гулять,4,4,1,Нет,Матеша,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего",Нет,"Детектив, Драма, Комедия, Мелодрама, Фантастика"
09.06.2019 23:51:35,Мальчик,Часто,0,Ненавижу Абу,Гетеро,Сычевать,3,1,0,Нет,Иностранные языки,Мне всё равно,"Политик, лидер и боец",Оригатоё гайзаймас,"А колбаса какая, колбаса...","Аниме, Комедия, Мелодрама, Фильм ужасов"
09.06.2019 23:52:05,Мальчик,Часто,0,Ненавижу Абу,Альтернативная,Сычевать,5,0,3,Я просто боюсь евреев,Информатика,Мне всё равно,"Политик, лидер и боец",НЭЙТИВ ИНГЛИШ СПИКЕР,Нет,Аниме
09.06.2019 23:52:20,Девочка,Не били,2,Ненавижу Абу,Гетеро,Сычевать,3,5,1,Нет,Иностранные языки,Отрицательно,"Политик, лидер и боец",Отлично,Нет,"Детектив, Драма, Комедия, Мелодрама, Трагедия"
09.06.2019 23:53:23,Девочка,Не били,4,Паблик в вк,Гетеро,Сычевать,0,3,6,Нет,Литература,Мне всё равно,Молодец,"Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив, Драма, Комедия, Мелодрама, Исторический фильм, Фильм ужасов, Фантастика"
09.06.2019 23:54:36,Мальчик,Разве что по делу,0,Лучшая борда рунета,Гетеро,Сычевать,7,0,0,Да,Матеша,Положительно,leatherman,Отлично,Нет,"Комедия, Фантастика"
09.06.2019 23:57:23,Мальчик,Разве что по делу,0,Паблик в вк,Альтернативная,Сычевать,0,3,1,Я просто боюсь евреев,Информатика,Мне всё равно,Хз кто такой,"Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик, Детектив, Драма, Комедия, Мелодрама, Трагедия, Фильм ужасов, Фантастика"
09.06.2019 23:57:38,Мальчик,Не били,1,Лучшая борда рунета,Гетеро,Сычевать,4,3,1,Нет,Информатика,Мне всё равно,Молодец,"Чуть лучше, чем ничего",Нет,"Боевик, Детектив, Комедия, Трагедия, Фильм ужасов, Фантастика"
09.06.2019 23:59:58,Мальчик,Не били,1,Не знаю,Гетеро,Сычевать,5,0,0,Я просто боюсь евреев,Информатика,Мне всё равно,"Политик, лидер и боец",Оригатоё гайзаймас,"А колбаса какая, колбаса...",Аниме
10.06.2019 0:00:05,Девочка,Не били,1,Паблик в вк,Гетеро,Сычевать,0,3,5,Нет,История,Мне всё равно,"Политик, лидер и боец",Нормально,Нет,"Детектив, Драма, Комедия, Мелодрама, Исторический фильм, Трагедия"
10.06.2019 0:00:17,Мальчик,Не били,1,Лучшая борда рунета,Гетеро,Сычевать,7,3,2,Нет,Информатика,Мне всё равно,"Политие, лидер, огурец",Оригатоё гайзаймас,Нет,"Боевик, Аниме, Комедия, Фантастика"
10.06.2019 0:00:22,Мальчик,Не били,2,Лучшая борда рунета,Альтернативная,Сычевать,7,5,0,Да,Информатика,Мне всё равно,Молодец,Оригатоё гайзаймас,"А колбаса какая, колбаса...",Аниме
10.06.2019 0:00:52,Мальчик,Разве что по делу,1,Лучшая борда рунета,Гетеро,Сычевать,2,0,2,Нет,Иностранные языки,Мне всё равно,"Значит так. Путин, в первую очередь, президент РФ.",Отлично,Нет,"Боевик, Детектив, Аниме, Драма, Комедия, Мелодрама, Исторический фильм, Трагедия, Фильм ужасов, Фантастика"
10.06.2019 0:01:37,Мальчик,Не били,3,Ненавижу Абу,Гетеро,Гулять,5,0,1,Нет,Матеша,Отрицательно,"Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...",Комедия
10.06.2019 0:04:43,Мальчик,Разве что по делу,1,Не знаю,Гетеро,Сычевать,7,2,7,Нет,История,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...",Фантастика
10.06.2019 0:05:28,Мальчик,Не били,0,Паблик в вк,Гетеро,Сычевать,3,1,1,Нет,История,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив, Комедия"
10.06.2019 0:08:17,Девочка,Разве что по делу,3,Паблик в вк,Гетеро,Гулять,0,2,1,Нет,Иностранные языки,Положительно,"Политик, лидер и боец",Нормально,Нет,"Детектив, Драма, Комедия, Исторический фильм, Трагедия"
10.06.2019 0:10:48,Мальчик,Разве что по делу,4,Лучшая борда рунета,Гетеро,Гулять,7,1,4,Нет,Химия,Мне всё равно,"Политик, лидер и боец",Хорошо,Нет,"Драма, Комедия, Фантастика"
10.06.2019 0:11:34,Мальчик,Не били,1,Паблик в вк,Гетеро,Сычевать,2,7,4,Нет,Физика,Мне всё равно,Просто другое,Нормально,Нет,"Боевик, Драма, Комедия, Фантастика"
10.06.2019 0:13:20,Мальчик,Не били,0,Лучшая борда рунета,Гетеро,Сычевать,3,5,0,Нет,Информатика,Мне всё равно,"Политик, лидер и боец",Нормально,"А колбаса какая, колбаса...","Боевик, Детектив, Драма, Комедия, Трагедия, Фантастика"
10.06.2019 0:14:34,Мальчик,Разве что по делу,3,Лучшая борда рунета,Гетеро,Сычевать,5,7,2,Нет,Литература,Мне всё равно,Владимирович,"Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик, Детектив, Аниме, Драма, Комедия, Мелодрама, Трагедия, Фильм ужасов, Фантастика"
10.06.2019 0:17:25,Девочка,Разве что по делу,2,Паблик в вк,Гетеро,Сычевать,0,5,3,Нет,Иностранные языки,Положительно,"Политик, лидер и боец",Отлично,Нет,"Детектив, Драма, Комедия, Мелодрама, Фильм ужасов, Фантастика"
10.06.2019 0:20:01,Мальчик,Не били,1,Лучшая борда рунета,Гетеро,Сычевать,5,2,0,Нет,Информатика,Мне всё равно,Хуй,Оригатоё гайзаймас,"А колбаса какая, колбаса...","Аниме, Драма, Фантастика"
10.06.2019 0:37:22,Мальчик,Не били,0,Ненавижу Абу,Би,Гулять,7,5,7,Нет,Литература,Отрицательно,Хуйло,Хорошо,Нет,"Детектив, Аниме, Драма, Комедия, Исторический фильм, Фильм ужасов, Фантастика"
10.06.2019 0:40:44,Девочка,Не били,5,Лучшая борда рунета,Альтернативная,Гулять,0,4,7,Я просто боюсь евреев,Физика,Мне всё равно,Красное Солнышко,"Чуть лучше, чем ничего",Нет,Боевик
10.06.2019 0:45:42,Девочка,Разве что по делу,0,Паблик в вк,Гетеро,Сычевать,2,5,5,Нет,Матеша,Мне всё равно,Бессмертный ,Хорошо,Нет,"Детектив, Аниме, Драма, Комедия"
10.06.2019 0:47:12,Девочка,Не били,3,Не знаю,Гетеро,Гулять,0,2,5,Нет,Биология,Мне всё равно,-,Хорошо,Нет,"Боевик, Детектив, Драма, Комедия, Мелодрама"
10.06.2019 0:47:22,Девочка,Не били,3,Не знаю,Гетеро,Гулять,0,2,5,Нет,Биология,Мне всё равно,-,Хорошо,Нет,"Боевик, Детектив, Драма, Комедия, Мелодрама"
10.06.2019 0:48:03,Девочка,Разве что по делу,3,Лучшая борда рунета,Гетеро,Гулять,5,7,7,Нет,Матеша,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего",Нет,"Аниме, Комедия, Мелодрама, Фантастика"
10.06.2019 0:49:32,Девочка,Разве что по делу,5,Лучшая борда рунета,Би,Гулять,0,4,4,Нет,Физика,Мне всё равно,Молодец,"Чуть лучше, чем ничего",Нет,Боевик
10.06.2019 0:53:52,Девочка,Не били,0,Паблик в вк,Гетеро,Сычевать,2,7,3,Я просто боюсь евреев,Матеша,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик, Детектив, Драма, Комедия, Мелодрама, Фильм ужасов, Фантастика"
10.06.2019 1:00:24,Девочка,Часто,2,Паблик в вк,Гетеро,Сычевать,1,3,1,Нет,Биология,Мне всё равно,Не молодец,Нормально,Нет,"Детектив, Драма, Мелодрама, Трагедия"
10.06.2019 1:51:46,Мальчик,Не били,0,Не знаю,Гетеро,Сычевать,2,4,0,Нет,Информатика,Мне всё равно,Президент,"Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик, Детектив, Фантастика"
10.06.2019 1:55:46,Девочка,Разве что по делу,1,Лучшая борда рунета,Гетеро,Сычевать,2,4,1,Нет,Информатика,Мне всё равно,"Политик, лидер и боец",Отлично,"А колбаса какая, колбаса...","Детектив, Аниме, Комедия, Фантастика"
10.06.2019 5:22:07,Мальчик,Разве что по делу,0,Ненавижу Абу,Би,Гулять,4,2,3,Нет,Информатика,Мне всё равно,"Политик, лидер и боец",Нормально,"А колбаса какая, колбаса...","Детектив, Аниме, Комедия, Фантастика"
10.06.2019 5:53:20,Девочка,Разве что по делу,3,Паблик в вк,Гетеро,Сычевать,0,0,5,Нет,Матеша,Мне всё равно,Хз,Хорошо,"А колбаса какая, колбаса...","Драма, Комедия, Мелодрама"
10.06.2019 7:21:43,Девочка,Не били,2,Паблик в вк,Гетеро,Сычевать,0,2,2,Нет,Информатика,Положительно,"Политик, лидер и боец",Хорошо,Нет,"Детектив, Аниме, Драма, Комедия, Исторический фильм, Фантастика"
10.06.2019 7:57:44,Девочка,Разве что по делу,2,Паблик в вк,Гетеро,Гулять,0,0,3,Нет,Матеша,Мне всё равно,Рептилоид,Нормально,Нет,"Комедия, Мелодрама, Фильм ужасов"
10.06.2019 8:22:29,Мальчик,Не били,0,Ненавижу Абу,Би,Сычевать,4,0,4,Нет,Информатика,Мне всё равно,"Политик, лидер и боец",Хорошо,"А колбаса какая, колбаса...",Исторический фильм
10.06.2019 8:35:59,Мальчик,Разве что по делу,3,Не знаю,Би,Сычевать,2,6,3,Нет,Информатика,Мне всё равно,"Политик, лидер и боец",Хорошо,"А колбаса какая, колбаса...","Детектив, Драма, Мелодрама, Фантастика"
10.06.2019 8:38:36,Мальчик,Разве что по делу,2,Ненавижу Абу,Гетеро,Сычевать,3,2,3,Нет,Информатика,Отрицательно,рептилоид,Хорошо,Нет,"Аниме, Драма, Мелодрама, Исторический фильм, Фантастика"
10.06.2019 8:42:08,Девочка,Не били,1,Не знаю,Гетеро,Гулять,1,2,2,Нет,Информатика,Мне всё равно,Сказочный или реальный?,Нормально,Нет,Фантастика
10.06.2019 9:01:31,Мальчик,Не били,2,Ненавижу Абу,Гетеро,Сычевать,5,2,1,Нет,Информатика,Мне всё равно,хуйло,Отлично,"А колбаса какая, колбаса...","Боевик, Детектив, Драма, Комедия, Мелодрама, Исторический фильм, Трагедия, Фантастика"
10.06.2019 9:17:27,Мальчик,Разве что по делу,0,Не знаю,Гетеро,Гулять,4,4,7,Нет,Информатика,Положительно,"Политик, лидер и боец",Нормально,Нет,"Боевик, Аниме, Исторический фильм, Фантастика"
10.06.2019 9:27:25,Девочка,Разве что по делу,3,Паблик в вк,Гетеро,Гулять,0,1,5,Нет,Литература,Мне всё равно,"Политик, лидер и боец",Хорошо,Нет,"Аниме, Комедия, Исторический фильм, Фантастика"
10.06.2019 9:30:40,Девочка,Не били,2,Лучшая борда рунета,Би,Сычевать,2,5,5,Нет,Литература,Мне всё равно,впервые слышу что за чел,Оригатоё гайзаймас,Нет,"Аниме, Драма, Комедия, Мелодрама, Фантастика"
10.06.2019 9:31:49,Девочка,Не били,1,Не знаю,Гетеро,Сычевать,1,4,1,Нет,Матеша,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив, Комедия, Фильм ужасов"
10.06.2019 9:32:56,Девочка,Не били,1,Не знаю,Гетеро,Сычевать,1,3,7,Нет,Литература,Положительно,"Политик, лидер и боец",Хорошо,"А колбаса какая, колбаса...","Боевик, Детектив, Драма, Комедия, Мелодрама, Исторический фильм, Трагедия, Фильм ужасов, Фантастика"
10.06.2019 9:33:16,Девочка,Не били,3,Не знаю,Гетеро,Гулять,0,3,4,Нет,Иностранные языки,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего",Нет,"Комедия, Фантастика"
10.06.2019 9:34:37,Мальчик,Часто,0,Лучшая борда рунета,Альтернативная,Гулять,1,5,4,Нет,История,Мне всё равно,действующий президент РФ,"Чуть лучше, чем ничего",Нет,"Детектив, Комедия, Исторический фильм, Трагедия, Фильм ужасов, Фантастика"
10.06.2019 9:34:57,Девочка,Не били,4,Не знаю,Би,Сычевать,0,5,3,Нет,Литература,Мне всё равно,Посадят,"Чуть лучше, чем ничего",Нет,Исторический фильм
10.06.2019 9:42:06,Девочка,Не били,2,Лучшая борда рунета,Би,Гулять,1,6,3,Нет,Иностранные языки,Мне всё равно,Умный манипулятор,Нормально,Нет,"Детектив, Драма, Исторический фильм, Трагедия"
10.06.2019 9:50:43,Девочка,Не били,5,Не знаю,Гетеро,Гулять,2,5,6,Нет,Литература,Отрицательно,Власть нельзя оскорблять)),НЭЙТИВ ИНГЛИШ СПИКЕР,Нет,"Детектив, Аниме, Комедия, Фантастика"
10.06.2019 10:18:36,Мальчик,Разве что по делу,2,Паблик в вк,Гетеро,Гулять,2,2,1,Нет,Физика,Мне всё равно,"Политик, лидер и боец",Хорошо,"А колбаса какая, колбаса...","Боевик, Комедия, Фантастика"
10.06.2019 11:00:06,Девочка,Разве что по делу,0,Паблик в вк,Гетеро,Сычевать,3,7,1,Нет,Иностранные языки,Мне всё равно,...,"Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик, Детектив, Комедия, Фантастика"
10.06.2019 11:02:32,Девочка,Не били,2,Паблик в вк,Гетеро,Сычевать,0,7,7,Нет,Литература,Мне всё равно,Ква,Нормально,Нет,"Аниме, Фильм ужасов, Фантастика"
10.06.2019 11:02:50,Девочка,Не били,3,Не знаю,Гетеро,Сычевать,0,3,4,Нет,Матеша,Мне всё равно,"Политик, лидер и боец",Оригатоё гайзаймас,Нет,Исторический фильм
10.06.2019 11:05:40,Девочка,Не били,1,Не знаю,Гетеро,Гулять,0,3,5,Нет,Литература,Положительно,"Политик, лидер и боец",Отлично,Нет,"Драма, Комедия, Мелодрама, Фильм ужасов"
10.06.2019 11:10:37,Девочка,Разве что по делу,0,Не знаю,Гетеро,Сычевать,0,2,5,Нет,Литература,Мне всё равно,Молодец,Нормально,Нет,Комедия
10.06.2019 11:20:21,Девочка,Разве что по делу,2,Не знаю,Гетеро,Гулять,0,5,5,Нет,Литература,Мне всё равно,мало озабочен жизнью народа,Нормально,Нет,"Комедия, Трагедия, Фантастика"
10.06.2019 11:22:51,Мальчик,Не били,1,Паблик в вк,Гетеро,Гулять,3,3,2,Нет,Литература,Мне всё равно,Владимир Путин,Нормально,Нет,Фантастика
10.06.2019 11:50:31,Мальчик,Часто,1,Лучшая борда рунета,Би,Сычевать,7,5,3,Я просто боюсь евреев,Информатика,Отрицательно,Сказочный.. выдумщик,"Чуть лучше, чем ничего",Нет,"Боевик, Комедия, Фантастика"
10.06.2019 12:06:54,Девочка,Разве что по делу,0,Не знаю,Би,Сычевать,4,7,3,Нет,Информатика,Мне всё равно,********* *******,Нормально,Нет,"Аниме, Фильм ужасов"
10.06.2019 12:11:20,Девочка,Разве что по делу,2,Не знаю,Гетеро,Гулять,0,7,7,Нет,Литература,Мне всё равно,"Меня посадят, если я отвечу ",Нормально,Нет,"Детектив, Драма, Комедия, Мелодрама, Исторический фильм, Фантастика"
10.06.2019 12:13:58,Мальчик,Разве что по делу,1,Лучшая борда рунета,Гетеро,Сычевать,6,0,1,Я просто боюсь евреев,Информатика,Отрицательно,вор,Оригатоё гайзаймас,"А колбаса какая, колбаса...","Детектив, Аниме, Фильм ужасов, Фантастика"
10.06.2019 12:42:26,Мальчик,Разве что по делу,3,Паблик в вк,Гетеро,Гулять,2,1,5,Нет,Информатика,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего",Нет,"Детектив, Комедия, Фантастика"
10.06.2019 12:44:59,Девочка,Не били,4,Не знаю,Гетеро,Гулять,0,7,7,Нет,Матеша,Мне всё равно,Молодец,Хорошо,Нет,"Фильм ужасов, Фантастика"
10.06.2019 12:48:38,Мальчик,Разве что по делу,2,Паблик в вк,Гетеро,Сычевать,4,3,2,Нет,Информатика,Положительно,"Политик, лидер и боец",Хорошо,"А колбаса какая, колбаса...","Боевик, Детектив, Аниме, Комедия, Исторический фильм, Фантастика"
10.06.2019 12:48:50,Мальчик,Разве что по делу,0,Ненавижу Абу,Гетеро,Сычевать,1,4,2,Да,Литература,Положительно,красавчик,Нормально,Нет,Трагедия
10.06.2019 12:54:09,Мальчик,Не били,0,Лучшая борда рунета,Гетеро,Гулять,1,1,1,Нет,Информатика,Мне всё равно,-,Нормально,Нет,"Боевик, Детектив"
